# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.862095895005645577e-03 3.065553755615612317e+04
1.878413493181766694e-03 3.087929592295794646e+04
1.894874082925052409e-03 3.110426785024990022e+04
1.911478917274587758e-03 3.133045258900540284e+04
1.928229260249872271e-03 3.155784926077611817e+04
1.945126386947045732e-03 3.178645685449137090e+04
1.962171583635949866e-03 3.201627422473654951e+04
1.979366147858045450e-03 3.224730000857491177e+04
1.996711388525185520e-03 3.247953232852654037e+04
2.014208626019251165e-03 3.271296904694372279e+04
2.031859192292670511e-03 3.294760786853486934e+04
2.049664430969806370e-03 3.318344633843677002e+04
2.067625697449239439e-03 3.342048184086069523e+04
2.085744359006944451e-03 3.365871166999857087e+04
2.104021794900375313e-03 3.389813310186428862e+04
2.122459396473457514e-03 3.413874326842702430e+04
2.141058567262500798e-03 3.438053913924293738e+04
2.159820723103044685e-03 3.462351751961234550e+04
2.178747292237631639e-03 3.486767503556142037e+04
2.197839715424536496e-03 3.511300788578531501e+04
2.217099446047437420e-03 3.535951185426289157e+04
2.236527950226055265e-03 3.560718253029782500e+04
2.256126706927757009e-03 3.585601531499501289e+04
2.275897208080142776e-03 3.610600541927841550e+04
2.295840958684617315e-03 3.635714786559153436e+04
2.315959476930953310e-03 3.660943750750823529e+04
2.336254294312860389e-03 3.686286901386219688e+04
2.356726955744575022e-03 3.711743685659432958e+04
2.377379019678455691e-03 3.737313530879394966e+04
2.398212058223624533e-03 3.762995844279151788e+04
2.419227657265641575e-03 3.788790013483275834e+04
2.440427416587220236e-03 3.814695407555917336e+04
2.461812949990020098e-03 3.840711375319594663e+04
2.483385885417487005e-03 3.866837244845994428e+04
2.505147865078783450e-03 3.893072323272192443e+04
2.527100545573791011e-03 3.919415895498717873e+04
2.549245598019226049e-03 3.945867182921235508e+04
2.571584708175847413e-03 3.972425330059334374e+04
2.594119576576781310e-03 3.999089453586962190e+04
2.616851918656974609e-03 4.025858645592006360e+04
2.639783464883773984e-03 4.052731973376050883e+04
2.662915960888665584e-03 4.079708484677227534e+04
2.686251167600148346e-03 4.106787259224810987e+04
2.709790861377790825e-03 4.133967387217579380e+04
2.733536834147445079e-03 4.161247936322003079e+04
2.757490893537661858e-03 4.188627951063055662e+04
2.781654863017291902e-03 4.216106452662561787e+04
2.806030582034294615e-03 4.243682417219413037e+04
2.830619906155759733e-03 4.271354705853298947e+04
2.855424707209165865e-03 4.299122129194696754e+04
