# ff065fa778254cca54b85bb3a68aab7b5381e1714f11192a638a154f53590803#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.67,"mnu":0.0,"ns":0.962,"ombh2":0.021996100000000005,"omch2":0.11985630000000001,"omnuh2":0.0,"sigma_8":0.834},"data_sha256":"89d27adde730cb67050cb1a692ee37c19091b68532d0d0770a87800023f45b4a","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
3.518453944597195980e-03 5.283921791529554321e+04
3.549286254481511405e-03 5.315242178765326389e+04
3.580388748755838034e-03 5.346620416266623943e+04
3.611763795053509179e-03 5.378054300278233131e+04
3.643413781755492232e-03 5.409541496866642410e+04
3.675341118172205032e-03 5.441079615784952330e+04
3.707548234726925577e-03 5.472666228726720146e+04
3.740037583140789438e-03 5.504298869279861538e+04
3.772811636619433865e-03 5.535975034502529888e+04
3.805872890041275998e-03 5.567692260863719275e+04
3.839223860147410877e-03 5.599448159111540735e+04
3.872867085733206882e-03 5.631240314592668437e+04
3.906805127841576041e-03 5.663066278993803280e+04
3.941040569957908815e-03 5.694923570366372587e+04
3.975576018206760515e-03 5.726809624675712257e+04
4.010414101550223431e-03 5.758721247361235874e+04
4.045557471988051046e-03 5.790654795108710823e+04
4.081008804759561626e-03 5.822606560586281557e+04
4.116770798547252259e-03 5.854572779726216686e+04
4.152846175682264711e-03 5.886549631790829153e+04
4.189237682351593800e-03 5.918533771382040140e+04
4.225948088807147604e-03 5.950524374806126434e+04
4.262980189576638657e-03 5.982521401938075724e+04
4.300336803676294874e-03 6.014524839854480524e+04
4.338020774825460460e-03 6.046534702849601308e+04
4.376034971663081592e-03 6.078551003314751142e+04
4.414382287966055196e-03 6.110569191007623886e+04
4.453065642869536225e-03 6.142575068062904029e+04
4.492087981089137524e-03 6.174552969859584118e+04
4.531452273145089929e-03 6.206486939031786460e+04
4.571161515588392094e-03 6.238360726524336496e+04
4.611218731228884128e-03 6.270159103941518697e+04
4.651626969365390760e-03 6.301895208987301157e+04
4.692389306017814322e-03 6.333610361444244336e+04
4.733508844161305948e-03 6.365347901863021252e+04
4.774988713962485462e-03 6.397152065887190838e+04
4.816832073017696982e-03 6.429067987459459982e+04
4.859042106593391280e-03 6.461131473008437752e+04
4.901622027868611509e-03 6.493302718227533478e+04
4.944575078179555376e-03 6.525506613225876208e+04
4.987904527266362985e-03 6.557666393045622681e+04
5.031613673521982862e-03 6.589703801524241862e+04
5.075705844243274048e-03 6.621539113682940661e+04
5.120184395884303484e-03 6.653116852007654961e+04
5.165052714311818734e-03 6.684460768946414464e+04
5.210314215063031364e-03 6.715610762940590212e+04
5.255972343605588674e-03 6.746607573492363736e+04
5.302030575599863023e-03 6.777492770394867694e+04
5.348492417163554398e-03 6.808308232149016112e+04
5.395361405138546403e-03 6.839072767604868568e+04
5.442641107360187379e-03 6.869771974555912311e+04
5.490335122928853562e-03 6.900388706409516453e+04
5.538447082483935642e-03 6.930905547152367944e+04
5.586980648480230523e-03 6.961304813648910203e+04
5.635939515466720923e-03 6.991569337526829622e+04
5.685327410367816553e-03 7.021691092496800411e+04
5.735148092767095897e-03 7.051668194847747509e+04
5.785405355193439306e-03 7.081498894533395651e+04
